continent,location,date,total_cases,total_deaths,total_vaccinations,population
Asia,Afghanistan,31/03/2020,166,4,,39835428
Asia,Afghanistan,30/06/2020,31445,739,,39835428
Asia,Afghanistan,30/09/2020,39354,1462,,39835428
Asia,Afghanistan,31/12/2020,52330,2189,,39835428
Asia,Afghanistan,31/03/2021,56454,2484,,39835428
Asia,Afghanistan,30/06/2021,118659,4871,886854,39835428
Asia,Afghanistan,30/09/2021,155174,7204,2369625,39835428
Asia,Afghanistan,31/12/2021,158084,7356,,39835428
Asia,Afghanistan,31/03/2022,177747,7670,,39835428
,Africa,31/03/2020,5761,198,,1373486472
,Africa,30/06/2020,404891,10146,,1373486472
,Africa,30/09/2020,1481930,35863,,1373486472
,Africa,31/12/2020,2760454,65468,,1373486472
,Africa,31/03/2021,4217242,112755,11476248,1373486472
,Africa,30/06/2021,5504517,142935,48664662,1373486472
,Africa,30/09/2021,8310766,210407,149777657,1373486472
,Africa,31/12/2021,9756168,228453,303508220,1373486472
,Africa,31/03/2022,11558935,251953,452644764,1373486472
Europe,Albania,31/03/2020,243,15,,2872934
Europe,Albania,30/06/2020,2535,62,,2872934
Europe,Albania,30/09/2020,13649,387,,2872934
Europe,Albania,31/12/2020,58316,1181,,2872934
Europe,Albania,31/03/2021,125157,2235,138846,2872934
Europe,Albania,30/06/2021,132521,2456,968034,2872934
Europe,Albania,30/09/2021,170131,2698,1741373,2872934
Europe,Albania,31/12/2021,210224,3217,,2872934
Europe,Albania,31/03/2022,273677,3492,2766890,2872934
Africa,Algeria,31/03/2020,716,44,,44616626
Africa,Algeria,30/06/2020,13907,912,,44616626
Africa,Algeria,30/09/2020,51530,1736,,44616626
Africa,Algeria,31/12/2020,99610,2756,,44616626
Africa,Algeria,31/03/2021,117192,3093,,44616626
Africa,Algeria,30/06/2021,139626,3716,,44616626
Africa,Algeria,30/09/2021,203359,5812,,44616626
Africa,Algeria,31/12/2021,218432,6276,,44616626
Africa,Algeria,31/03/2022,265671,6874,,44616626
Europe,Andorra,31/03/2020,376,12,,77354
Europe,Andorra,30/06/2020,855,52,,77354
Europe,Andorra,30/09/2020,2050,53,,77354
Europe,Andorra,31/12/2020,8049,84,,77354
Europe,Andorra,31/03/2021,12010,115,,77354
Europe,Andorra,30/06/2021,13911,127,,77354
Europe,Andorra,30/09/2021,15222,130,,77354
Europe,Andorra,31/12/2021,23740,140,,77354
Europe,Andorra,31/03/2022,40024,153,,77354
Africa,Angola,31/03/2020,7,2,,33933611
Africa,Angola,30/06/2020,284,13,,33933611
Africa,Angola,30/09/2020,4972,183,,33933611
Africa,Angola,31/12/2020,17553,405,,33933611
Africa,Angola,31/03/2021,22311,537,,33933611
Africa,Angola,30/06/2021,38849,900,,33933611
Africa,Angola,30/09/2021,56583,1537,,33933611
Africa,Angola,31/12/2021,81593,1770,,33933611
Africa,Angola,31/03/2022,99169,1900,,33933611
North America,Anguilla,31/03/2020,2,,,15125
North America,Anguilla,30/06/2020,3,,,15125
North America,Anguilla,30/09/2020,3,,,15125
North America,Anguilla,31/12/2020,13,,,15125
North America,Anguilla,31/03/2021,25,,,15125
North America,Anguilla,30/06/2021,109,,,15125
North America,Anguilla,30/09/2021,409,1,,15125
North America,Anguilla,31/12/2021,1674,5,,15125
North America,Anguilla,31/03/2022,2700,9,,15125
