date,state,cases,deaths,state_code
I 2020,Alabama,999,14,AL
I 2020,Alaska,133,2,AK
I 2020,Arizona,1298,24,AZ
I 2020,Arkansas,564,8,AR
I 2020,California,8583,184,CA
I 2020,Colorado,2990,69,CO
I 2020,Connecticut,3128,69,CT
I 2020,Delaware,319,10,DE
I 2020,District of Columbia,495,9,DC
I 2020,Florida,6742,85,FL
I 2020,Georgia,4116,126,GA
I 2020,Hawaii,224,1,HI
I 2020,Idaho,526,9,ID
I 2020,Illinois,5992,107,IL
I 2020,Indiana,2177,61,IN
I 2020,Iowa,498,7,IA
I 2020,Kansas,435,10,KS
I 2020,Kentucky,590,18,KY
I 2020,Louisiana,5237,240,LA
I 2020,Maine,303,5,ME
I 2020,Maryland,1662,18,MD
I 2020,Massachusetts,6620,89,MA
I 2020,Michigan,7629,264,MI
I 2020,Minnesota,629,12,MN
I 2020,Mississippi,937,20,MS
I 2020,Missouri,1350,15,MO
I 2020,Montana,198,5,MT
I 2020,Nebraska,199,4,NE
I 2020,Nevada,1113,26,NV
I 2020,New Hampshire,367,3,NH
I 2020,New Jersey,18696,267,NJ
I 2020,New Mexico,315,5,NM
I 2020,New York,76211,1929,NY
I 2020,North Carolina,1527,10,NC
I 2020,North Dakota,126,3,ND
I 2020,Ohio,2199,55,OH
I 2020,Oklahoma,566,23,OK
I 2020,Oregon,690,18,OR
I 2020,Pennsylvania,4997,72,PA
I 2020,Rhode Island,488,8,RI
I 2020,South Carolina,1083,22,SC
I 2020,South Dakota,107,1,SD
I 2020,Tennessee,2049,13,TN
I 2020,Texas,3588,57,TX
I 2020,Utah,887,5,UT
I 2020,Vermont,293,13,VT
I 2020,Virginia,1249,27,VA
I 2020,Washington,5293,226,WA
I 2020,West Virginia,162,1,WV
I 2020,Wisconsin,1351,25,WI
I 2020,Wyoming,121,0,WY
II 2020,Alabama,38045,950,AL
II 2020,Alaska,1132,12,AK
II 2020,Arizona,79399,1645,AZ
II 2020,Arkansas,20777,270,AR
II 2020,California,232153,6083,CA
II 2020,Colorado,32698,1690,CO
II 2020,Connecticut,46514,4322,CT
II 2020,Delaware,11474,509,DE
II 2020,District of Columbia,10327,551,DC
II 2020,Florida,152426,3504,FL
II 2020,Georgia,77280,2758,GA
II 2020,Hawaii,901,18,HI
II 2020,Idaho,6124,92,ID
II 2020,Illinois,144661,7136,IL
II 2020,Indiana,46740,2640,IN
II 2020,Iowa,29152,717,IA
II 2020,Kansas,14629,276,KS
II 2020,Kentucky,15916,588,KY
II 2020,Louisiana,58203,3221,LA
II 2020,Maine,3253,105,ME
II 2020,Maryland,68152,3190,MD
II 2020,Massachusetts,108882,8054,MA
II 2020,Michigan,70850,6197,MI
II 2020,Minnesota,36338,1476,MN
II 2020,Mississippi,27248,1073,MS
II 2020,Missouri,22275,1037,MO
II 2020,Montana,967,22,MT
II 2020,Nebraska,19194,279,NE
II 2020,Nevada,18582,507,NV
II 2020,New Hampshire,5782,371,NH
II 2020,New Jersey,173521,15035,NJ
II 2020,New Mexico,12147,497,NM
II 2020,New York,398142,31776,NY
II 2020,North Carolina,65064,1362,NC
II 2020,North Dakota,3585,88,ND
II 2020,Ohio,51789,2863,OH
II 2020,Oklahoma,13757,387,OK
II 2020,Oregon,8695,210,OR
II 2020,Pennsylvania,91226,6695,PA
II 2020,Rhode Island,16813,950,RI
II 2020,South Carolina,36399,739,SC
II 2020,South Dakota,6764,91,SD
II 2020,Tennessee,42815,597,TN
II 2020,Texas,166703,2482,TX
II 2020,Utah,22364,172,UT
II 2020,Vermont,1208,56,VT
II 2020,Virginia,62787,1763,VA
II 2020,Washington,34541,1333,WA
II 2020,West Virginia,2904,93,WV
II 2020,Wisconsin,31723,793,WI
II 2020,Wyoming,1487,20,WY
III 2020,Alabama,154701,2540,AL
III 2020,Alaska,8707,52,AK
III 2020,Arizona,218511,5654,AZ
III 2020,Arkansas,83697,1369,AR
III 2020,California,821126,15898,CA
III 2020,Colorado,71090,2061,CO
III 2020,Connecticut,57550,4508,CT
III 2020,Delaware,20613,636,DE
III 2020,District of Columbia,15326,627,DC
III 2020,Florida,706508,14316,FL
III 2020,Georgia,301485,6861,GA
III 2020,Hawaii,12555,135,HI
III 2020,Idaho,42549,469,ID
III 2020,Illinois,296935,8935,IL
III 2020,Indiana,122295,3632,IN
III 2020,Iowa,89248,1358,IA
III 2020,Kansas,60957,678,KS
III 2020,Kentucky,72830,1208,KY
III 2020,Louisiana,167458,5511,LA
III 2020,Maine,5391,141,ME
III 2020,Maryland,125217,3949,MD
III 2020,Massachusetts,132116,9456,MA
III 2020,Michigan,138074,7084,MI
III 2020,Minnesota,99187,2089,MN
III 2020,Mississippi,98190,2969,MS
III 2020,Missouri,130065,2157,MO
III 2020,Montana,13179,180,MT
III 2020,Nebraska,45564,493,NE
III 2020,Nevada,80084,1600,NV
III 2020,New Hampshire,8266,439,NH
III 2020,New Jersey,207062,16122,NJ
III 2020,New Mexico,29435,877,NM
III 2020,New York,463369,32757,NY
III 2020,North Carolina,211004,3565,NC
III 2020,North Dakota,21849,250,ND
III 2020,Ohio,153987,4804,OH
III 2020,Oklahoma,87199,1031,OK
III 2020,Oregon,33554,560,OR
III 2020,Pennsylvania,164135,8216,PA
III 2020,Rhode Island,24748,1114,RI
III 2020,South Carolina,147942,3378,SC
III 2020,South Dakota,22389,223,SD
III 2020,Tennessee,193357,2429,TN
III 2020,Texas,784027,16102,TX
III 2020,Utah,73053,460,UT
III 2020,Vermont,1752,58,VT
III 2020,Virginia,148271,3208,VA
III 2020,Washington,91560,2222,WA
III 2020,West Virginia,15848,350,WV
III 2020,Wisconsin,129172,1338,WI
III 2020,Wyoming,5948,50,WY
IV 2020,Alabama,361226,4827,AL
IV 2020,Alaska,46740,198,AK
IV 2020,Arizona,523829,8879,AZ
IV 2020,Arkansas,225138,3676,AR
IV 2020,California,2307860,25965,CA
IV 2020,Colorado,335579,4879,CO
IV 2020,Connecticut,185708,5995,CT
IV 2020,Delaware,57456,926,DE
IV 2020,District of Columbia,28983,786,DC
IV 2020,Florida,1323307,21672,FL
IV 2020,Georgia,644065,10588,GA
IV 2020,Hawaii,21459,286,HI
IV 2020,Idaho,141388,1438,ID
IV 2020,Illinois,965840,17979,IL
IV 2020,Indiana,514455,8263,IN
IV 2020,Iowa,281712,3891,IA
IV 2020,Kansas,225455,2741,KS
IV 2020,Kentucky,268828,2956,KY
IV 2020,Louisiana,315275,7488,LA
IV 2020,Maine,24201,347,ME
IV 2020,Maryland,276834,5895,MD
IV 2020,Massachusetts,375178,12423,MA
IV 2020,Michigan,526668,13010,MI
IV 2020,Minnesota,415361,5382,MN
IV 2020,Mississippi,215811,4787,MS
IV 2020,Missouri,418637,5887,MO
IV 2020,Montana,81701,962,MT
IV 2020,Nebraska,167795,1690,NE
IV 2020,Nevada,225165,3136,NV
IV 2020,New Hampshire,44028,759,NH
IV 2020,New Jersey,479381,19042,NJ
IV 2020,New Mexico,142897,2479,NM
IV 2020,New York,979040,37557,NY
IV 2020,North Carolina,541070,6811,NC
IV 2020,North Dakota,92502,1299,ND
IV 2020,Ohio,700380,8962,OH
IV 2020,Oklahoma,290936,2489,OK
IV 2020,Oregon,113929,1485,OR
IV 2020,Pennsylvania,646060,16020,PA
IV 2020,Rhode Island,87949,1777,RI
IV 2020,South Carolina,307507,5296,SC
IV 2020,South Dakota,99164,1488,SD
IV 2020,Tennessee,572579,6846,TN
IV 2020,Texas,1770527,28155,TX
IV 2020,Utah,276612,1270,UT
IV 2020,Vermont,7412,136,VT
IV 2020,Virginia,349584,5032,VA
IV 2020,Washington,251064,3523,WA
IV 2020,West Virginia,85334,1338,WV
IV 2020,Wisconsin,520438,5245,WI
IV 2020,Wyoming,44409,438,WY
I 2021,Alabama,515388,10554,AL
I 2021,Alaska,62559,299,AK
I 2021,Arizona,841811,16967,AZ
I 2021,Arkansas,330398,5626,AR
I 2021,California,3669048,59260,CA
I 2021,Colorado,464782,6175,CO
I 2021,Connecticut,310888,7886,CT
I 2021,Delaware,94802,1559,DE
I 2021,District of Columbia,44513,1064,DC
I 2021,Florida,2057727,33424,FL
I 2021,Georgia,1035186,18473,GA
I 2021,Hawaii,29779,460,HI
I 2021,Idaho,180643,1965,ID
I 2021,Illinois,1248133,23579,IL
I 2021,Indiana,689785,13039,IN
I 2021,Iowa,351402,5743,IA
I 2021,Kansas,304657,4913,KS
I 2021,Kentucky,430116,6151,KY
I 2021,Louisiana,444933,10141,LA
I 2021,Maine,50504,743,ME
I 2021,Maryland,411529,8286,MD
I 2021,Massachusetts,635580,17185,MA
I 2021,Michigan,744823,17112,MI
I 2021,Minnesota,519607,6926,MN
I 2021,Mississippi,305146,7032,MS
I 2021,Missouri,588900,8977,MO
I 2021,Montana,104677,1437,MT
I 2021,Nebraska,209602,2282,NE
I 2021,Nevada,303799,5249,NV
I 2021,New Hampshire,84176,1238,NH
I 2021,New Jersey,908812,24528,NJ
I 2021,New Mexico,191652,3939,NM
I 2021,New York,1871595,49790,NY
I 2021,North Carolina,915456,12137,NC
I 2021,North Dakota,103123,1498,ND
I 2021,Ohio,1017566,18609,OH
I 2021,Oklahoma,438364,4953,OK
I 2021,Oregon,165013,2396,OR
I 2021,Pennsylvania,1030415,25150,PA
I 2021,Rhode Island,137329,2619,RI
I 2021,South Carolina,551630,9146,SC
I 2021,South Dakota,117759,1935,SD
I 2021,Tennessee,797531,11798,TN
I 2021,Texas,2790030,48537,TX
I 2021,Utah,385700,2122,UT
I 2021,Vermont,19275,227,VT
I 2021,Virginia,618976,10252,VA
I 2021,Washington,366907,5309,WA
I 2021,West Virginia,141738,2676,WV
I 2021,Wisconsin,636250,7316,WI
I 2021,Wyoming,56310,700,WY
II 2021,Alabama,550983,11352,AL
II 2021,Alaska,70669,360,AK
II 2021,Arizona,894875,17936,AZ
II 2021,Arkansas,349385,5909,AR
II 2021,California,3816704,63662,CA
II 2021,Colorado,560927,6947,CO
II 2021,Connecticut,349352,8278,CT
II 2021,Delaware,109744,1694,DE
II 2021,District of Columbia,49335,1141,DC
II 2021,Florida,2329484,37877,FL
II 2021,Georgia,1110094,20729,GA
II 2021,Hawaii,36391,514,HI
II 2021,Idaho,195074,2154,ID
II 2021,Illinois,1395863,25674,IL
II 2021,Indiana,757279,13850,IN
II 2021,Iowa,373861,6138,IA
II 2021,Kansas,319584,5188,KS
II 2021,Kentucky,465942,7267,KY
II 2021,Louisiana,481467,10738,LA
II 2021,Maine,69033,858,ME
II 2021,Maryland,462496,9741,MD
II 2021,Massachusetts,709966,17994,MA
II 2021,Michigan,998606,20984,MI
II 2021,Minnesota,605458,7687,MN
II 2021,Mississippi,321764,7412,MS
II 2021,Missouri,634733,9919,MO
II 2021,Montana,113862,1665,MT
II 2021,Nebraska,224753,2520,NE
II 2021,Nevada,333712,5681,NV
II 2021,New Hampshire,99504,1372,NH
II 2021,New Jersey,1023395,26452,NJ
