location;date;total_cases;new_cases;total_deaths;total_vaccinations
World;23.01.2020;657.0;100.0;18.0;
World;24.01.2020;944.0;287.0;26.0;
World;25.01.2020;1437.0;493.0;42.0;
World;26.01.2020;2120.0;683.0;56.0;
World;27.01.2020;2929.0;809.0;82.0;
World;28.01.2020;5580.0;2651.0;131.0;
World;29.01.2020;6169.0;589.0;133.0;
World;30.01.2020;8237.0;2068.0;171.0;
World;31.01.2020;9927.0;1690.0;213.0;
World;01.02.2020;12038.0;2111.0;259.0;
World;02.02.2020;16787.0;4749.0;362.0;
World;03.02.2020;19887.0;3100.0;426.0;
World;04.02.2020;23899.0;4012.0;492.0;
World;05.02.2020;27644.0;3745.0;564.0;
World;06.02.2020;30806.0;3162.0;634.0;
World;07.02.2020;34400.0;3594.0;719.0;
World;08.02.2020;37131.0;2731.0;806.0;
World;09.02.2020;40162.0;3031.0;906.0;
World;10.02.2020;42771.0;2609.0;1013.0;
World;11.02.2020;44814.0;2043.0;1113.0;
World;12.02.2020;45232.0;418.0;1118.0;
World;13.02.2020;60384.0;15152.0;1371.0;
World;14.02.2020;66912.0;6528.0;1523.0;
World;15.02.2020;69055.0;2143.0;1666.0;
World;16.02.2020;71238.0;2183.0;1770.0;
World;17.02.2020;73273.0;2035.0;1868.0;
World;18.02.2020;75155.0;1882.0;2008.0;
World;19.02.2020;75655.0;500.0;2123.0;
World;20.02.2020;76216.0;561.0;2248.0;
World;21.02.2020;76846.0;630.0;2252.0;
World;22.02.2020;78608.0;1762.0;2459.0;
World;23.02.2020;78990.0;382.0;2470.0;
World;24.02.2020;79558.0;568.0;2630.0;
World;25.02.2020;80412.0;854.0;2710.0;
World;26.02.2020;81384.0;973.0;2771.0;
World;27.02.2020;82728.0;1344.0;2814.0;
World;28.02.2020;84152.0;1424.0;2873.0;
World;29.02.2020;86024.0;1872.0;2943.0;
World;01.03.2020;88403.0;2379.0;2997.0;
World;02.03.2020;90383.0;1980.0;3086.0;
World;03.03.2020;92995.0;2612.0;3160.0;
World;04.03.2020;95317.0;2322.0;3255.0;
World;05.03.2020;98028.0;2711.0;3348.0;
World;06.03.2020;101958.0;3930.0;3461.0;
World;07.03.2020;106089.0;4131.0;3566.0;
World;08.03.2020;109943.0;3854.0;3807.0;
World;09.03.2020;114266.0;4323.0;3997.0;
World;10.03.2020;119052.0;4786.0;4273.0;
World;11.03.2020;126530.0;7506.0;4618.0;
World;12.03.2020;133284.0;6754.0;4929.0;
World;13.03.2020;146481.0;13197.0;5419.0;
World;14.03.2020;157371.0;10890.0;5843.0;
World;15.03.2020;168607.0;11236.0;6491.0;
World;16.03.2020;183177.0;14570.0;7177.0;
World;17.03.2020;198358.0;15181.0;7988.0;
World;18.03.2020;215926.0;17568.0;8905.0;
World;19.03.2020;243021.0;27095.0;10015.0;
World;20.03.2020;272562.0;29543.0;11508.0;
World;21.03.2020;305006.0;32450.0;13238.0;
World;22.03.2020;339222.0;34216.0;14923.0;
World;23.03.2020;381780.0;42558.0;16891.0;
World;24.03.2020;423673.0;41908.0;19207.0;
World;25.03.2020;475170.0;51497.0;22038.0;
World;26.03.2020;535986.0;60816.0;25065.0;
